Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
324,Michael Wilson,PG,27,ATL,2,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,wilsomi01
325,Othell Wilson,PG,25,SAC,53,2,14.9,1.5,3.5,.443,0.1,0.3,.167,1.5,3.2,.473,.451,0.8,1.0,.796,0.5,1.0,1.5,3.9,0.8,0.1,1.5,1.3,4.0,wilsoot01
326,David Wingate,SG,23,PHI,77,9,20.9,3.4,7.8,.430,0.2,0.7,.250,3.2,7.1,.447,.441,1.9,2.6,.741,0.9,1.1,2.0,2.0,1.2,0.2,1.7,2.2,8.8,wingada01
327,Randy Wittman,SG,27,ATL,71,65,28.9,5.6,11.2,.503,0.1,0.2,.333,5.5,11.0,.505,.505,1.4,1.8,.787,0.4,1.3,1.7,3.0,0.5,0.2,1.2,1.5,12.7,wittmra01
328,Al Wood,SG,28,DAL,54,0,12.2,2.2,5.7,.390,0.1,0.5,.280,2.1,5.3,.400,.402,2.0,2.6,.784,0.7,1.0,1.7,0.6,0.4,0.2,0.6,1.5,6.6,woodal01
329,Leon Wood,PG,24,NJN,76,7,22.8,2.5,6.6,.373,0.8,2.6,.300,1.7,4.0,.422,.433,1.6,2.0,.799,0.3,1.3,1.6,4.9,0.6,0.0,1.4,1.7,7.3,woodle01
330,Mike Woodson,SG,28,LAC,74,66,28.7,6.7,15.3,.437,0.5,1.7,.276,6.2,13.6,.457,.452,3.2,3.9,.828,0.9,1.3,2.2,2.6,1.4,0.2,2.3,2.7,17.1,woodsmi01
331,Orlando Woolridge,SF,27,NJN,75,53,35.2,7.4,14.2,.521,0.0,0.1,.125,7.4,14.1,.524,.522,5.8,7.5,.777,1.6,3.3,4.9,3.5,0.7,1.1,2.8,3.2,20.7,woolror01
332,James Worthy*,SF,25,LAL,82,82,34.4,7.9,14.7,.539,0.0,0.2,.000,7.9,14.6,.545,.539,3.6,4.7,.751,1.9,3.8,5.7,2.8,1.3,1.0,2.0,2.5,19.4,worthja01
333,Brad Wright,PF,24,NYK,14,0,9.9,1.4,3.3,.435,0.0,0.1,.000,1.4,3.2,.444,.435,0.9,2.0,.429,1.8,2.0,3.8,0.1,0.2,0.4,0.9,1.4,3.7,wrighbr01
334,Danny Young,PG,24,SEA,73,26,20.3,1.8,3.9,.458,0.4,1.1,.367,1.4,2.9,.493,.509,0.8,1.0,.831,0.3,1.2,1.5,4.8,1.0,0.0,1.2,1.0,4.8,youngda01
335,Perry Young,SG,23,TOT,9,0,8.0,0.7,2.3,.286,0.0,0.0,,0.7,2.3,.286,.286,0.1,0.2,.500,0.3,0.6,0.9,0.8,0.6,0.1,0.4,1.6,1.4,youngpe01
335,Perry Young,SG,23,CHI,5,0,4.0,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.2,0.4,.500,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.6,1.0,youngpe01
335,Perry Young,SG,23,POR,4,0,13.0,1.0,4.3,.235,0.0,0.0,,1.0,4.3,.235,.235,0.0,0.0,,0.8,1.0,1.8,1.8,1.0,0.3,0.8,2.8,2.0,youngpe01
